jno;games;year;season;city
1;1960 Winter;1960;Winter;Squaw Valley
2;1980 Winter;1980;Winter;Lake Placid
3;1984 Summer;1984;Summer;Los Angeles
4;1968 Winter;1968;Winter;Grenoble
5;1992 Summer;1992;Summer;Barcelona
6;1988 Winter;1988;Winter;Calgary
7;1952 Summer;1952;Summer;Helsinki
8;1932 Winter;1932;Winter;Lake Placid
9;1936 Winter;1936;Winter;Garmisch-Partenkirchen
10;1976 Winter;1976;Winter;Innsbruck
11;1936 Summer;1936;Summer;Berlin
12;2010 Winter;2010;Winter;Vancouver
13;1956 Summer;1956;Summer;Stockholm
14;2014 Winter;2014;Winter;Sochi
15;1928 Winter;1928;Winter;Sankt Moritz
16;1952 Winter;1952;Winter;Oslo
17;2006 Winter;2006;Winter;Torino
18;1960 Summer;1960;Summer;Roma
19;1924 Winter;1924;Winter;Chamonix
20;1976 Summer;1976;Summer;Montreal
21;1996 Summer;1996;Summer;Atlanta
22;1980 Summer;1980;Summer;Moskva
23;2008 Summer;2008;Summer;Beijing
24;1972 Summer;1972;Summer;Munich
25;1972 Winter;1972;Winter;Sapporo
26;1928 Summer;1928;Summer;Amsterdam
27;1994 Winter;1994;Winter;Lillehammer
28;1998 Winter;1998;Winter;Nagano
29;1924 Summer;1924;Summer;Paris
30;1964 Summer;1964;Summer;Tokyo
31;1992 Winter;1992;Winter;Albertville
32;1964 Winter;1964;Winter;Innsbruck
33;1948 Summer;1948;Summer;London
34;2004 Summer;2004;Summer;Athina
35;1956 Summer;1956;Summer;Melbourne
36;1932 Summer;1932;Summer;Los Angeles
37;2012 Summer;2012;Summer;London
38;1948 Winter;1948;Winter;Sankt Moritz
39;2000 Summer;2000;Summer;Sydney
40;1984 Winter;1984;Winter;Sarajevo
41;1988 Summer;1988;Summer;Seoul
42;2016 Summer;2016;Summer;Rio de Janeiro
43;1920 Summer;1920;Summer;Antwerpen
44;2002 Winter;2002;Winter;Salt Lake City
45;1956 Winter;1956;Winter;Cortina d'Ampezzo
46;1968 Summer;1968;Summer;Mexico City
